gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
13004,0.090633567,0.747911595,Basic Volcanic Rocks,1.0,,0.0,0.0
13006,0.090844484,0.747252737,Basic Volcanic Rocks,1.0,,0.0,0.0
13007,0.117452139,0.747811737,Basic Volcanic Rocks,0.727272727,Unconsolidated Sediments,0.272727273,0.0
13008,0.115195516,0.747904275,Basic Volcanic Rocks,0.764705882,Unconsolidated Sediments,0.235294118,0.0
13010,0.1466046,0.746256811,Unconsolidated Sediments,0.666666667,Basic Volcanic Rocks,0.333333333,0.0
13012,0.128042682,0.747575085,Unconsolidated Sediments,1.0,,0.0,0.0
13013,0.090000004,0.749894209,Basic Volcanic Rocks,0.833333333,Unconsolidated Sediments,0.166666667,0.0
13016,0.115534758,0.747901766,Basic Volcanic Rocks,0.736842105,Unconsolidated Sediments,0.263157895,0.0
13017,0.115589234,0.747822964,Basic Volcanic Rocks,0.8,Unconsolidated Sediments,0.2,0.0
13025,0.14206921,0.746501679,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
14001,0.090301395,0.749874194,Basic Volcanic Rocks,1.0,,0.0,0.0
14003,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
14004,0.090447545,0.749864488,Basic Volcanic Rocks,1.0,,0.0,0.0
14005,0.013150685,0.723819257,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0.0
14008,0.090000004,0.749894209,Basic Volcanic Rocks,0.75,Unconsolidated Sediments,0.25,0.0
14009,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
14011,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
14012,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
14014,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
14015,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
15001,0.013495145,0.723074549,Metamorphic Rocks,0.666666667,Unconsolidated Sediments,0.333333333,0.0
15003,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15005,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15006,0.019767442,0.72362177,Metamorphic Rocks,0.75,Unconsolidated Sediments,0.25,0.0
15007,0.01,0.722769797,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
15008,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15009,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
15010,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15011,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
15012,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
15013,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
15014,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
15016,0.010044763,0.722773699,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
15017,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15018,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
15019,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
15020,0.010056124,0.72277469,Metamorphic Rocks,1.0,,0.0,0.0
15021,0.012706088,0.723005737,Metamorphic Rocks,1.0,,0.0,0.0
15022,0.01,0.722769797,Acid Plutonic Rocks,0.5,Unconsolidated Sediments,0.25,0.0
15023,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
