gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
8028,1.465555912,12.7370578,4.789413672,0.198212557,0.198835753,50,150,150,79,68,11,10,10,22,7,4,1.59,1.506428571,1.45,1.389642857,0.53,0.6275,0.3,0.318571429,0.016139219,0.00693534,C,-0.280945067
8029,1.468007663,12.23155324,4.382356592,0.218916318,0.22439395,75,150,150,79,68,11,10,10,22,7,4,1.59,1.569591837,1.45,1.437755102,0.53,0.563673469,0.3,0.308163265,0.02219496,0.008309381,C,-0.428501156
8030,1.3461006,8.92543094,3.762592262,0.202776257,0.198204952,50,150,150,47,39,29,27,24,34,9,8,1.39,1.452975207,1.33,1.367603306,0.86,0.755371901,0.38,0.354545455,0.019139072,0.006524539,D,-0.653777499
8031,6.547037733,10.85291496,4.686202158,0.21472862,0.217602075,125,150,150,47,39,29,27,24,34,9,8,1.39,1.432168675,1.33,1.35313253,0.86,0.71686747,0.38,0.362771084,0.018434092,0.006366525,C,-0.639810236
8034,2.364330721,9.971364458,3.830829318,0.203503866,0.20309404,25,150,150,79,68,11,10,10,22,7,4,1.59,1.516869773,1.45,1.405289256,0.53,0.661989247,0.3,0.298506571,0.018989191,0.007304429,D,-0.093198259
8035,1.885334599,10.04501084,3.905163926,0.198729368,0.19577783,25,150,50,56,44,20,19,24,37,11,10,1.41,1.492436548,1.32,1.384764493,0.74,0.685837563,0.34,0.298950931,0.017578692,0.006780065,D,-0.12084496
8036,1.278803987,6.58310774,2.694415405,0.232768756,0.242835609,25,150,150,79,68,11,10,10,22,7,4,1.59,1.528666667,1.45,1.439299363,0.53,0.752428571,0.3,0.23,0.024780808,0.010450796,D,-1.011486348
8038,4.786539424,12.97948817,5.090883258,0.216137685,0.220830689,25,150,150,79,68,11,10,10,22,7,4,1.59,1.504176123,1.45,1.401121678,0.53,0.671644424,0.3,0.299886903,0.021685737,0.008789246,D,-0.061046391
9001,14.67643012,20.12205808,7.049604108,0.205798559,0.215566428,25,150,125,16,15,29,28,55,57,4,5,1.21,1.276512456,1.21,1.220461538,0.75,0.979608541,0.45,0.317651246,0.030850859,0.016635516,C,-1.369550402
9002,6.14623335,21.79605522,7.405034158,0.217849592,0.234277733,25,150,150,47,39,29,27,24,34,9,8,1.39,1.350331754,1.33,1.298505535,0.86,0.913902054,0.38,0.343372828,0.026479967,0.013834378,C,-0.443771571
9005,1.893678493,20.83064848,7.42475921,0.223984585,0.241168371,25,150,150,47,39,29,27,24,34,9,8,1.39,1.385726141,1.33,1.326095238,0.86,0.920912863,0.38,0.333278008,0.02612544,0.0124301,C,-1.820277769
